time,title,rate,url
,有一天我们会告诉彼此一切,6.3,https://movie.douban.com/subject/35707930/
,了不起的夜晚,5.5,https://movie.douban.com/subject/35814176/
,倒数说爱你,5.4,https://movie.douban.com/subject/35876337/
,墨西哥万岁！,7.5,https://movie.douban.com/subject/36114486/
,长沙夜生活,5.5,https://movie.douban.com/subject/35451891/
,第八感,7.7,https://movie.douban.com/subject/35983210/
,长空之王,6.5,https://movie.douban.com/subject/35209731/
,交涉,5.8,https://movie.douban.com/subject/33406476/
,汤道,6.9,https://movie.douban.com/subject/36053033/
,幽灵鬼屋,6,https://movie.douban.com/subject/4924145/
,虽然只是弄丢了手机,6.4,https://movie.douban.com/subject/35203206/
,一个人的朝圣,7.5,https://movie.douban.com/subject/35361159/
,借口公司2,7.2,https://movie.douban.com/subject/36125249/
,埋葬,7,https://movie.douban.com/subject/3833823/
,夜幕将至,7.2,https://movie.douban.com/subject/35211474/
,命运/奇异赝品 黎明低语,8.3,https://movie.douban.com/subject/36099457/
,别叫我“赌神”,4.8,https://movie.douban.com/subject/30434811/
,恶世之子,6.6,https://movie.douban.com/subject/33433393/
,汪汪队立大功大电影2：超能大冒险,7.6,https://movie.douban.com/subject/35712771/
,潜水,6.1,https://movie.douban.com/subject/35700153/
,甜蜜蜜：7510,6.4,https://movie.douban.com/subject/35914243/
,催眠,5.8,https://movie.douban.com/subject/30151567/
,新·假面骑士,5.7,https://movie.douban.com/subject/35421743/
,油麻菜籽,7.7,https://movie.douban.com/subject/1308633/
,望道,5.8,https://movie.douban.com/subject/35275659/
,教皇的驱魔人,6.3,https://movie.douban.com/subject/35296269/
,柜魔,5.5,https://movie.douban.com/subject/30258623/
,浴血无名·奔袭,6.9,https://movie.douban.com/subject/35775756/
,三个火枪手：达达尼昂,6.5,https://movie.douban.com/subject/35360553/
,初见倾心,6.8,https://movie.douban.com/subject/11532844/
,无敌少侠：原子女侠伊芙,7.2,https://movie.douban.com/subject/36488620/
,行骗高手,6.7,https://movie.douban.com/subject/35116322/
,回魂之夜,6.5,https://movie.douban.com/subject/36423644/
,塞涅卡,7,https://movie.douban.com/subject/33384367/
,在水中,6.5,https://movie.douban.com/subject/36219938/
,波士顿连环命案,6.8,https://movie.douban.com/subject/35614661/
,吹响悠风号 合奏比赛篇,8.7,https://movie.douban.com/subject/35923540/
,世界的阿菊,7.7,https://movie.douban.com/subject/35280762/
,指甲,5.6,https://movie.douban.com/subject/35342570/
,我爸没说的那件事,6.1,https://movie.douban.com/subject/26661179/
,#窨井盖,6.3,https://movie.douban.com/subject/35902715/
,梦想,6.3,https://movie.douban.com/subject/34848578/
,为人师表,7.9,https://movie.douban.com/subject/36328434/
,黑麦巷,6.4,https://movie.douban.com/subject/36181577/
,换命天堂,6.6,https://movie.douban.com/subject/36174857/
,生化危机：死亡岛,5.3,https://movie.douban.com/subject/36240739/
,琳达想吃鸡肉,8.5,https://movie.douban.com/subject/35432330/
,穷兄富弟,5.4,https://movie.douban.com/subject/36576596/
,不足之处,7,https://movie.douban.com/subject/35420022/
,你伤害了我,6.8,https://movie.douban.com/subject/35729450/
,少年派的奇幻漂流,8.5,https://movie.douban.com/subject/36330906/
,爱情万岁,7.1,https://movie.douban.com/subject/36099497/
,笼中之鸟,6.1,https://movie.douban.com/subject/35322671/
,老水仙,6.9,https://movie.douban.com/subject/36221480/
,传奇与蝴蝶,6,https://movie.douban.com/subject/35938535/
,雷恩菲尔德,6.1,https://movie.douban.com/subject/34896242/
,爱是一场烟火,7.5,https://movie.douban.com/subject/36178164/
,饥渴游戏,5.5,https://movie.douban.com/subject/36122158/
,不能流泪的悲伤,5.7,https://movie.douban.com/subject/36153321/
,美猴王,5.5,https://movie.douban.com/subject/35468737/
,图腾,7.1,https://movie.douban.com/subject/36218615/
,淡蓝之眸,6.5,https://movie.douban.com/subject/35382472/
,美丽的灾难,5.6,https://movie.douban.com/subject/34971891/
,蛛网男孩,5.6,https://movie.douban.com/subject/34955229/
,暴风,4.8,https://movie.douban.com/subject/35391267/
,家庭负担,7.1,https://movie.douban.com/subject/35937075/
,镜之孤城,7.6,https://movie.douban.com/subject/35786036/
,芙洛拉与儿子,7,https://movie.douban.com/subject/36207046/
,凯恩舰哗变,6.7,https://movie.douban.com/subject/36334280/
,宇航员,7.1,https://movie.douban.com/subject/35440024/
,如何做爱,6.3,https://movie.douban.com/subject/35235582/
,惊声尖叫6,5.8,https://movie.douban.com/subject/35763091/
,另一个佐伊,5.9,https://movie.douban.com/subject/35709893/
,戈德曼审判,7.4,https://movie.douban.com/subject/35777258/
,去年夏天,6.6,https://movie.douban.com/subject/35418779/
,消失的情人节,7.5,https://movie.douban.com/subject/35891428/
,岸边露伴 卢浮宫之行,6.2,https://movie.douban.com/subject/36207130/
,勿言推理 电影版,6.8,https://movie.douban.com/subject/35840430/
,两万种蜜蜂,7,https://movie.douban.com/subject/35519078/
,飞机陷落,6.3,https://movie.douban.com/subject/34888000/
,音乐,6.7,https://movie.douban.com/subject/34786765/
,纸人回魂,6.4,https://movie.douban.com/subject/36200703/
,鬼灭之刃  上弦集结，前往锻刀村,7.6,https://movie.douban.com/subject/36188879/
,艺术学院1994,6.2,https://movie.douban.com/subject/28510051/
,风之城,7.7,https://movie.douban.com/subject/35412336/
,斗罗大陆,6.8,https://movie.douban.com/subject/36145513/
,你好，妈妈,8.2,https://movie.douban.com/subject/36110780/
,米拉,5.8,https://movie.douban.com/subject/36127619/
,火之谜,8.5,https://movie.douban.com/subject/36367141/
,做自己万岁,5.9,https://movie.douban.com/subject/36391983/
,那些年，我们一起追的女孩,6.4,https://movie.douban.com/subject/34858508/
,红色特工,6.5,https://movie.douban.com/subject/36399580/
,东北告别天团2,6.4,https://movie.douban.com/subject/35936401/
,绝望主夫,4.4,https://movie.douban.com/subject/35891542/
,变身吉妹,5.8,https://movie.douban.com/subject/36317440/
,最好的相遇,6.3,https://movie.douban.com/subject/33445277/
,双面线索,6.9,https://movie.douban.com/subject/36320232/
,告密者,6.1,https://movie.douban.com/subject/36188159/
,三线轮洄,5.8,https://movie.douban.com/subject/35489163/
,谋杀疑案2,5.9,https://movie.douban.com/subject/34854919/
,小角色,6.5,https://movie.douban.com/subject/36507957/
,蒙上你的眼：逃出巴塞罗那,5.5,https://movie.douban.com/subject/35650123/
,子不语：夜行郎,6.1,https://movie.douban.com/subject/36087502/
,抬头见喜,6.3,https://movie.douban.com/subject/36207687/
,绝望海峡,6.2,https://movie.douban.com/subject/35718288/
,贝肯熊：火星任务,7.1,https://movie.douban.com/subject/35622477/
,银色薄雾,6.7,https://movie.douban.com/subject/35700700/
,触底反弹,7.3,https://movie.douban.com/subject/34908023/
,美少女战士Cosmos 前篇,8.1,https://movie.douban.com/subject/35883383/
,一百万英里之外,7.3,https://movie.douban.com/subject/36129169/
,诅咒录影,5,https://movie.douban.com/subject/36239955/
,在阳光下腐烂,5.9,https://movie.douban.com/subject/36181576/
,亲爱的格洛莉亚,7.8,https://movie.douban.com/subject/35633655/
,打更人怪谈,5.8,https://movie.douban.com/subject/36485502/
,小狗之爱,6.3,https://movie.douban.com/subject/36455051/
,母亲本色,5.9,https://movie.douban.com/subject/30308781/
,高墙天堂,7,https://movie.douban.com/subject/35419393/
,未来的太阳,6.6,https://movie.douban.com/subject/35752528/
,短信情缘,6.1,https://movie.douban.com/subject/35235819/
,熊嗨了,5.6,https://movie.douban.com/subject/35606409/
,老爹们,6.4,https://movie.douban.com/subject/35948902/
,战马一号,5.8,https://movie.douban.com/subject/35718289/
,奇门遁甲2,5.7,https://movie.douban.com/subject/35617081/
,新生，重生,6.2,https://movie.douban.com/subject/36170181/
,夺命网红,6,https://movie.douban.com/subject/36060148/
,漂流人生,7.4,https://movie.douban.com/subject/35908339/
,冠军,6.5,https://movie.douban.com/subject/35708419/
,黑色五叶草 剧场版 魔法帝之剑,7.4,https://movie.douban.com/subject/35418630/
,洗发魔法二合一,5.9,https://movie.douban.com/subject/36321384/
,新男孩,5.6,https://movie.douban.com/subject/35766459/
,极爱,7,https://movie.douban.com/subject/3865810/
,大力士：乔治·福尔曼,7.3,https://movie.douban.com/subject/35731708/
,舞会契约,6.6,https://movie.douban.com/subject/36090638/
,帕坦,6.2,https://movie.douban.com/subject/35408082/
,逃跑的女孩：卡拉·罗宾逊的故事,6.5,https://movie.douban.com/subject/36234477/
,看不见听不见也爱你,5.7,https://movie.douban.com/subject/36215329/
,或许我们分手了,6.6,https://movie.douban.com/subject/35590049/
,夏洛克的孩子们 电影版,6.8,https://movie.douban.com/subject/35788957/
,疯狂作死夜,5.6,https://movie.douban.com/subject/35729374/
,狙击之王：暗杀,5.7,https://movie.douban.com/subject/35904114/
,迪斯科男孩,6.2,https://movie.douban.com/subject/35172481/
,一勺糖,5.6,https://movie.douban.com/subject/36281110/
,奎迪3,5.8,https://movie.douban.com/subject/34919107/
,若虫：森林之歌,5.6,https://movie.douban.com/subject/27129722/
,读书会2：下一章,6,https://movie.douban.com/subject/35918091/
,送院途中,7,https://movie.douban.com/subject/35402753/
,辣妹刺客2,6.5,https://movie.douban.com/subject/35708612/
,他们克隆了蒂龙,6.3,https://movie.douban.com/subject/34863466/
,流落挪威的孩子,7.1,https://movie.douban.com/subject/36284492/
,小狗小心肝,6.6,https://movie.douban.com/subject/34439521/
,一个好人,7,https://movie.douban.com/subject/35410157/
,路德：落日之殇,5.8,https://movie.douban.com/subject/26297093/
,孤国春秋：七王丧钟,6.9,https://movie.douban.com/subject/35807182/
,英雄,5.6,https://movie.douban.com/subject/33441834/
,蜘蛛侠：莲,6.6,https://movie.douban.com/subject/36510925/
,嫌疑犯X的献身,6.5,https://movie.douban.com/subject/36539271/
,换屋假期,5.9,https://movie.douban.com/subject/35067402/
,逐梦大海,7.4,https://movie.douban.com/subject/36151166/
,给我讲个恐怖故事,5.6,https://movie.douban.com/subject/36524540/
,开关,6.6,https://movie.douban.com/subject/35335800/
,起死回生,6.3,https://movie.douban.com/subject/35707893/
,假面骑士极狐 × 假面骑士利维斯：电影大逃杀,7.8,https://movie.douban.com/subject/36015037/
,超级飞侠：乐迪加速,6.3,https://movie.douban.com/subject/36065713/
,性福结局,5.6,https://movie.douban.com/subject/36532790/
,白色塑料天空,7.1,https://movie.douban.com/subject/35168599/
,10天的爱人,6.1,https://movie.douban.com/subject/36208104/
,金之国 水之国,6.9,https://movie.douban.com/subject/35873652/
,千面特务,6.6,https://movie.douban.com/subject/36341784/
,爱与森林,6.3,https://movie.douban.com/subject/35936846/
,658公里、阳子的旅途,7.2,https://movie.douban.com/subject/36181583/
,那个夏天：剧场版,7.4,https://movie.douban.com/subject/36375221/
,尽管如此、千辉同学也太甜了。,5.5,https://movie.douban.com/subject/36059222/
,村庄,5.6,https://movie.douban.com/subject/35907928/
,兴安岭猎人2轮回森林,6.2,https://movie.douban.com/subject/35936426/
,血黄金,6.2,https://movie.douban.com/subject/36180662/
,熊男,5.7,https://movie.douban.com/subject/35633254/
,追星奶奶团,6.6,https://movie.douban.com/subject/35781837/
,魔力麦克3：最后之舞,5.7,https://movie.douban.com/subject/35680805/
,关于我的父亲,6.1,https://movie.douban.com/subject/35461745/
,我们有鬼啦,5.8,https://movie.douban.com/subject/27594861/
,做工的人,6.7,https://movie.douban.com/subject/35366666/
,机器人们,5.7,https://movie.douban.com/subject/35117553/
,闪婚,5.5,https://movie.douban.com/subject/30448591/
,1刑的乌鸦 电影版,5.8,https://movie.douban.com/subject/35970310/
,绅士,5.8,https://movie.douban.com/subject/35517727/
,不法岳父母,6,https://movie.douban.com/subject/35522483/
,瞧一桥,6.9,https://movie.douban.com/subject/35235200/
,巴赫曼：沙漠之旅,7.3,https://movie.douban.com/subject/35496300/
,生物钟,5.6,https://movie.douban.com/subject/36289824/
,小世界,7.3,https://movie.douban.com/subject/35918299/
,你与我和我,6.7,https://movie.douban.com/subject/36189400/
,我不好惹2：贝琪之怒,5.5,https://movie.douban.com/subject/35927536/
,表白吧！在毕业前,6.7,https://movie.douban.com/subject/35651106/
,伊伦嘉：诱惑的艺术,5.7,https://movie.douban.com/subject/35584698/
